"distribution: [0,0,0,1,1,1,2,2,3,3,2,2]"
"words: 200"
"errors: 7465"
"haskell demerits lower: 7465"
"seeds: "
"Haskell lower -6273050395685967527, -6743463103908762489"
"Haskell lower 2280846607551657174, 7242417390549870315"
"Equal 266636404885426222, 1334880177074941322"
"Haskell lower 7496759014155990438, 8209240316166011132"
"Haskell lower 8395015413776113628, 6515989220002532836"
"Haskell lower 3602428569625053139, -3496392351649783099"
"Haskell lower 893767379379186532, 1450544824004276878"
"Haskell lower -5414368995717501352, -5420256422838328824"
"Haskell lower -1113646010780788387, -6346466432639457758"
"Haskell lower -1919972934091118547, 7424727409075266494"
"Haskell lower 6516568566432251988, 8948606262624082129"
"Haskell lower 2680368654728810835, 4700727693357534157"
"Haskell lower 7775685433947220535, -5605695768532408737"
"Equal -1689871270628064596, 2798607218804420622"
"Haskell lower 7870468232139064655, 3817177345709071615"
"Haskell lower -2534903897338743266, 502312605945993201"
"Haskell lower -5116035401964510470, -6937014560839982271"
"Haskell lower -6478239060256640074, 6666319511477646778"
"Equal 6892887175454371747, -3954940290513601666"
"Equal -139296836291978305, -8728190798001788236"
"Haskell lower -766828998986285608, -7716795455600101711"
"Haskell lower 4189617486340650493, -3638794415567072148"
"Haskell lower -1781855918410208584, 106571815888207807"
"Haskell lower -4345563158918361778, -3570168786685659695"
"Haskell lower 5446205134956061807, -2972434515336277093"
"Haskell lower -6231812953637112733, -284348653872559621"
"Haskell lower -6477544316996489303, -4066877336904317905"
"Haskell lower 5542254083370595754, -965524937321953903"
"Equal 7652355608505333142, 4267706778208800939"
"Equal -3102283406539283112, -1659123383039285828"
"Equal -1194801101359777569, -3352115095343605814"
"Equal -6224133176945757021, -3483383830108848078"
"Haskell lower -271585998360589942, 2959785025478239357"
"Haskell lower -8006177409380851965, -7107658104868366249"
"Haskell lower -3141841128537751032, 8091599049708123024"
"Haskell lower -3612070271254651027, 7762567970704392709"
"Haskell lower 6691442800509794640, 1366855099081985980"
"Haskell lower -2742956458750260316, -1708996533148200752"
"Haskell lower 2603364472070842819, -8981710936702535057"
"Haskell lower -7835689509476315249, 3910029437088433998"
"Haskell lower -1794702725551491627, -5669592769346253197"
"Haskell lower 8723465668084567577, 2516869474430924938"
"Haskell lower 4672703187804679455, 4225937100681079282"
"Equal -934757757701119063, 6239776136918803437"
"Haskell lower -8636109028058514426, -3711099560523625676"
"Haskell lower -3592977955783947453, -7801632984278969619"
"Haskell lower 167772138407275070, -2211600954728588417"
"Haskell lower -1235903062405694962, -7181618748372194834"
"Haskell lower 5301276359393035576, 6202561600646471885"
"Haskell lower 6558163758147384318, 3895172023338371632"
"Equal 4171059409865221959, 7993425109736233871"
"Equal -7026654833017312610, 408724368284918954"
"Haskell lower 8910664967145486935, -5248368334291460483"
"Haskell lower -6129796955011520960, -2863668746404829463"
"Haskell lower -8701010247343221240, -7360032215425468762"
"Haskell lower -1829461286754046506, -9028711847031915495"
"Haskell lower -8476565526643466372, 3829406359490259042"
"Haskell lower -9210294129825048400, -1106187368379488265"
"Haskell lower 5825546882072263095, -1851846169587166307"
"Haskell lower -66894585239082254, -7631982963404632982"
"Equal -1229959395644910560, -4391687789917988762"
"Haskell lower -7303384931979807297, -236335854077718547"
"Haskell lower -2711324597467254195, -7758797590754892410"
"Equal -3576337379659379329, 8052335723614748783"
"Haskell lower 2399640272826555534, 7892087190481829873"
"Equal 3327906990549738034, -2446122985758466069"
"Haskell lower 3722330896599910454, -5748960924067491141"
"Haskell lower 5171383281640853504, -1230796230123995399"
"Haskell lower -2764745211383058290, 1159080339195198847"
"Equal -8124308773963130065, 7449869599372255251"
"Haskell lower -4024086687910204999, -7485682075414226542"
"Haskell lower 4593808396362370397, 2591833876680394503"
"Haskell lower 1604571510384088293, -8797350565926650740"
"Haskell lower -5206562255857967719, 7968713564891482591"
"Haskell lower 3310068143227044411, 6111735135651513333"
"Haskell lower 2587391787765534277, -7121300087940843585"
"Haskell lower 4726473263050822988, 8965373047665720015"
"Haskell lower 1786865436656363630, -3489062308569102999"
"Haskell lower 2421758506630788547, -6137682185133706800"
"Equal 796296075797062134, 6343089655431001338"
"Haskell lower -6511115035008264202, -3131083415173383697"
"Haskell lower 2261702253350265141, -1461770584559237624"
"Equal 4159967820915708405, -3842502194101547443"
"Haskell lower -1223485040309061599, -3333091731325888282"
"Equal -6125164425035421506, 1758721372311725440"
"Haskell lower 7108282717538360611, -9117631041628185864"
"Haskell lower 2548907160274257621, -6429342270476005361"
