"distribution: [0,0,0,1,1,1,2,2,3,3,2,2]"
"words: 50"
"errors: 2144"
"haskell demerits lower: 2144"
"seeds: "
"Haskell lower 6009205448225366152, 1021635173161217263"
"Haskell lower 4119318422303809186, 2983669724865079048"
"Equal -6574240427494671463, 8117890945526744144"
"Equal 4104248007946425449, -6691538542402600166"
"Equal -3499149579649681159, -1180669260066163564"
"Equal -900163250378659369, 1810421078695812888"
"Haskell lower -6897633912308779265, -7264885714170267092"
"Equal -1671572468281306937, -681028090289942802"
"Equal 1714620291543625596, 5431244416268481277"
"Haskell lower 3008837445413140505, -477140154431207101"
"Equal -2163144710369095916, 6134224854701836860"
"Equal -6296318882494082073, -7981444489803327921"
"Haskell lower 377220016394023572, 8380887378627947565"
"Haskell lower 5369133180506458119, 4954401838131468374"
"Equal 2880401640868234791, 1205676155597770969"
"Equal -2330471094071380200, -8191953037977219603"
"Equal -5654326783182490926, 7276163922227500516"
"Haskell lower 2805912076183128526, 8762595955531951988"
"Equal -6304287626614205173, 3478269959183453530"
"Haskell lower 6197921206907691481, 5901312314634240893"
"Equal -4354119794987998017, -9061426337595985406"
"Equal -3710309871452109905, -555589388807891636"
"Equal 3698654542731540055, -623905938638932231"
"Equal 897085475302692814, -4327700458940509140"
"Equal 756754930609915066, -988707042570243327"
"Haskell lower 8314829174562647386, 5097013820867910793"
"Haskell lower -7793765015384350401, -8736001861360585696"
"Equal 2273437788928958628, -196094527401679180"
"Equal 3694949070562802344, -3854552008202051199"
"Equal -4285509378002503130, -8063774466651579307"
"Equal -1473255904950061973, 8522522320057799057"
"Equal 1389686686029482219, -7275268627285836560"
"Equal 6538551501203886720, 5751311307712183240"
"Equal 5589366271713567929, -4274392467601347974"
"Equal 3888380333349297232, -2845996101125326354"
"Haskell lower -1297100139944945324, -5486399608397569685"
"Equal -6071166789511712175, -2867635833822594126"
"Equal 7893292226067080890, -4135856671697249669"
"Haskell lower 6058631578771686307, 6507507360786117696"
"Equal -4260055740755392472, -8767007836700108836"
"Equal -2974925645638284366, 2838692032284366473"
"Haskell lower 3169462551905135600, 9052704710650718133"
"Equal -6715742769676178296, 2413390968382524939"
"Equal 306068973154818802, -4291572221064038912"
"Equal -2032772495750916071, 8883676263314729"
"Haskell lower -2566819150012699187, -1481289429567855245"
"Equal -6136244415603025554, 2729865743908292838"
"Haskell lower -3244351908076467024, 1756238123410521866"
"Equal 1462213745399615153, 2971330047189587171"
"Equal -6847779891687045142, -9008477323901593831"
"Haskell lower -2973292944140978382, -330756292319122451"
"Haskell lower -8450429864724905096, 7346291539646258482"
"Equal 2268919867572577036, -818867607601780313"
"Equal -7150966140703592784, -2857878411863661677"
"Equal -2871847836579968513, -4281849167129954024"
"Haskell lower 6090771182448301091, 3715528377478012120"
"Haskell lower -6840187712396541918, 885154866521719175"
"Equal 3589180836540117999, 5849729938746063210"
"Equal 4739840818995325898, 8130507294472424531"
"Haskell lower 536168175580778089, 4638327598101474139"
"Haskell lower 2404427748305232379, 1020670089605985109"
"Equal 7787386497744598203, -920577495046060589"
"Equal -1973306150149343162, -4026896019766410314"
"Haskell lower 5078578883033880534, 615509573843761394"
