"distribution: [0,3,3,2,2,2,1,1,1,0,0,0]"
"words: 200"
"errors: 266"
"haskell demerits lower: 265"
"seeds: "
"Equal -1490081304084660436, 3562477082869650716"
"Equal -9114011851316945987, -4436166336284561445"
"Equal 6052344881797845926, -8228561325747285724"
"Equal -4889560619258108485, -1061694826839594663"
"Equal -6676549996022226520, -5207859311828826630"
"Equal -8415235867242939287, 5832435876879004704"
"Equal -8130031181191538854, 5705730721089312223"
"Equal 8640540450852546080, 3751191559893042867"
"Equal 7204981923368770011, -4322168573734694029"
"Equal 8048581797891417353, -5228051852980633736"
"Equal 165031710288417161, 4709714210773315929"
"Equal 1760580828231789989, 1147142408766434401"
"Equal 1850576692400244474, -5793680449707376926"
"Equal -1682548052850829610, 5617880004931044093"
"Equal 854487031924669373, 6260287136805049613"
"Equal 5020398037354992078, 1108506840471661893"
"Equal -5935870975790416461, 59219163367459664"
"Equal -2435458206921880384, -9136174977220680978"
"Equal -6204070962099291256, -8218260206304599427"
"Equal -6418945357473489240, 7723293083502779840"
"Equal 5173833753323183708, 96330451050705644"
"Equal 2818358516321256892, -2732796891412197042"
"Equal -8132283280207377298, -708052165356770770"
"Equal 4267260165253763976, -9130352958313553423"
"Equal -5269074368935191593, 2775315917750658298"
"Equal -9061176172607584496, -4232421523070442391"
"Equal 9197105538934389426, -410369614866767868"
"Equal -3092341223021375591, -2211460713790105924"
"Equal -5544487326970794854, 3736997442405479912"
"Equal 1951884668156024327, 795079023241021381"
"Equal -4419478550352467660, -5677957598253068556"
"Equal 6314136217538515285, -8455882564568796056"
"Equal -1778149406070097056, -8347698505380101950"
"Equal 4005771790504391559, -1792985148994401232"
"Equal -4868880325889596773, 1748176970932084526"
"Equal 3450355873333544264, -8385446076231126354"
"Equal -8427751588825096970, 4624509511214230447"
"Equal 3545629675317300500, 3860484168060457176"
"Equal -2692513595436752026, -4893642773110386595"
"Equal -3369324863873360197, 3137889788637500997"
"Equal 1879741766157936408, -6180381314562998369"
"Equal 2545989441642079385, -3232888918534136759"
"Equal 1795791957154810112, 7371592516548256015"
"Equal -2387262672397602659, 5642182989466116864"
